country,region,year,birthrate,businesstaxrate,co2emissions,daystostartbusiness,easeofbusiness,energyusage,gdp,gdppercapita,healthexpgdp,healthexpcapita,hourstodotax,infantmortalityrate,internetusage,lendinginterest,lifeexpectancy,lifeexpectancyfemale,lifeexpectancymale,mobilephoneusage,numberofrecords,population0-14,population15-64,population65+,populationtotal,populationurban,tourisminbound,tourismoutbound
Hong Kong SAR,Asia,12/1/2003,0.01,,40066,11,,13608,$161B,"$23,920 ",,,,,0.52,0.05,82,84,79,106%,1,0.155,0.728,0.117,6.7M,100.00%,$9B,$11B
India,Asia,12/1/2003,0.02,,1281914,89,,489507,$618B,$565 ,4.30%,$24 ,,0.06,0.02,0.115,64,65,62,3%,1,0.33,0.624,0.046,"1,093.8M",28.60%,$5B,$4B
Indonesia,Asia,12/1/2003,0.02,,316792,168,,165366,$235B,"$1,077 ",2.50%,$27 ,,0.036,0.02,0.169,68,70,66,9%,1,0.301,0.651,0.048,218.1M,44.40%,$4B,$4B
Japan,Asia,12/1/2003,0.01,,1237429,31,,506237,"$4,300B","$33,668 ",8.00%,"$2,693 ",,0.003,0.48,0.018,82,85,78,69%,1,0.141,0.672,0.188,127.7M,83.20%,$11B,$37B
Kazakhstan,Asia,12/1/2003,0.02,,153816,26,,43041,$31B,"$2,068 ",3.70%,$77 ,,0.032,0.02,,67,72,61,9%,1,0.257,0.67,0.074,14.9M,55.10%,$1B,$1B
North Korea,Asia,12/1/2003,0.02,,77777,,,20027,,,,,,0.03,,,68,71,64,,1,0.253,0.679,0.068,23.4M,59.60%,,
South Korea,Asia,12/1/2003,0.01,,466215,17,,202717,$681B,"$14,229 ",5.20%,$695 ,,0.005,0.66,0.062,78,81,74,72%,1,0.199,0.716,0.085,47.9M,80.70%,$7B,$11B
Kyrgyzstan,Asia,12/1/2003,0.02,,5328,21,,2584,$2B,$381 ,5.40%,$21 ,,0.037,0.04,0.191,69,72,65,3%,1,0.326,0.617,0.057,5.0M,35.30%,$0B,$0B
Laos,Asia,12/1/2003,0.03,,1129,153,,,$2B,$360 ,4.90%,$18 ,,0.075,0.00,0.305,64,65,62,2%,1,0.418,0.545,0.037,5.6M,25.10%,$0B,$0B
Macao SAR,Asia,12/1/2003,0.01,,1536,,,,$8B,"$17,586 ",,,,,0.26,0.06,79,81,76,81%,1,0.197,0.73,0.074,0.5M,100.00%,$5B,$0B
Malaysia,Asia,12/1/2003,0.02,,160266,37,,54619,$110B,"$4,419 ",3.90%,$172 ,,0.007,0.35,0.063,74,76,71,45%,1,0.315,0.644,0.042,24.9M,64.80%,$7B,$3B
Maldives,Asia,12/1/2003,0.02,,598,13,,,$1B,"$3,303 ",6.00%,$199 ,,0.025,0.06,0.14,73,74,71,23%,1,0.37,0.587,0.043,0.3M,31.30%,$0B,$0B
Mongolia,Asia,12/1/2003,0.02,,8034,20,,2525,$2B,$646 ,7.40%,$48 ,,0.042,,0.319,65,68,61,13%,1,0.311,0.652,0.037,2.5M,60.40%,$0B,$0B
Myanmar,Asia,12/1/2003,0.02,,9846,,,14064,,,2.30%,$4 ,,0.054,0.00,0.15,63,65,61,0%,1,0.29,0.661,0.048,49.6M,28.10%,$0B,$0B
Nepal,Asia,12/1/2003,0.03,,2952,31,,8707,$6B,$258 ,5.40%,$14 ,,0.052,0.00,0.074,64,65,63,0%,1,0.399,0.559,0.041,24.5M,14.60%,$0B,$0B
Pakistan,Asia,12/1/2003,0.03,,118895,24,,68695,$83B,$546 ,2.90%,$16 ,,0.083,0.05,,65,65,64,2%,1,0.395,0.564,0.04,152.4M,34.10%,$1B,$1B
Philippines,Asia,12/1/2003,0.03,,71532,49,,38822,$84B,"$1,016 ",3.20%,$33 ,,0.029,0.05,0.095,68,71,64,27%,1,0.377,0.59,0.033,82.6M,47.10%,$2B,$2B
Singapore,Asia,12/1/2003,0.01,,31133,8,,25634,$97B,"$23,574 ",3.60%,$823 ,,0.003,0.54,0.053,80,82,77,84%,1,0.201,0.72,0.079,4.1M,100.00%,$4B,$8B
Sri Lanka,Asia,12/1/2003,0.02,,10660,58,,8682,$19B,$985 ,3.90%,$38 ,,0.013,0.02,0.103,74,77,70,7%,1,0.258,0.675,0.067,19.2M,18.40%,$1B,$0B
Tajikistan,Asia,12/1/2003,0.03,,2076,,,2170,$2B,$238 ,4.50%,$11 ,,0.061,0.00,0.167,65,69,61,1%,1,0.402,0.561,0.037,6.5M,26.40%,$0B,$0B
Thailand,Asia,12/1/2003,0.01,,232198,33,,89107,$143B,"$2,217 ",3.60%,$79 ,,0.017,0.09,0.059,72,75,68,34%,1,0.231,0.696,0.073,64.5M,35.00%,$10B,$4B
Timor-Leste,Asia,12/1/2003,0.04,,161,,,,$0B,$468 ,7.50%,$24 ,,0.072,,0.167,62,63,60,2%,1,0.491,0.483,0.026,0.9M,25.30%,,
Turkmenistan,Asia,12/1/2003,0.02,,42215,,,17629,$6B,"$1,286 ",3.80%,$95 ,,0.062,0.00,,64,68,60,0%,1,0.342,0.613,0.045,4.6M,46.60%,,
Uzbekistan,Asia,12/1/2003,0.02,,122683,29,,51412,$10B,$396 ,5.20%,$20 ,,0.049,0.02,,68,71,64,1%,1,0.349,0.605,0.046,25.6M,37.00%,$0B,
Vietnam,Asia,12/1/2003,0.02,,78767,59,,35111,$43B,$531 ,5.20%,$25 ,,0.025,0.04,0.095,75,79,70,3%,1,0.289,0.646,0.065,80.5M,26.10%,$1B,
Albania,Europe,12/1/2003,0.02,,4294,41,,1976,$6B,"$1,863 ",6.20%,$108 ,,0.02,0.01,0.143,76,79,72,34%,1,0.282,0.64,0.078,3.0M,44.60%,$1B,$1B
Andorra,Europe,12/1/2003,0.01,,535,,,,$2B,"$25,355 ",5.80%,"$1,891 ",,0.003,0.14,,,,,69%,1,,,,0.1M,91.20%,,
Austria,Europe,12/1/2003,0.01,,72317,25,,32214,$254B,"$31,275 ",10.30%,"$3,223 ",,0.004,0.43,,79,82,76,89%,1,0.165,0.678,0.157,8.1M,65.80%,$15B,$10B
Belarus,Europe,12/1/2003,0.01,,53722,79,,26009,$18B,"$1,819 ",6.60%,$120 ,,0.009,,0.24,69,75,63,11%,1,0.166,0.691,0.143,9.8M,71.40%,$0B,$0B
Belgium,Europe,12/1/2003,0.01,,114836,56,,59242,$312B,"$30,069 ",10.00%,"$3,000 ",,0.004,0.50,0.069,78,81,75,83%,1,0.173,0.655,0.172,10.4M,97.30%,$9B,$13B
Bosnia and Herzegovina,Europe,12/1/2003,0.01,,23238,68,,4400,$8B,"$2,148 ",8.00%,$174 ,,0.007,0.04,0.109,76,78,73,28%,1,0.194,0.684,0.122,3.9M,39.20%,$0B,$0B
Bulgaria,Europe,12/1/2003,0.01,,47308,32,,19399,$21B,"$2,642 ",7.60%,$201 ,,0.016,0.12,0.085,73,76,69,45%,1,0.143,0.685,0.171,7.8M,69.90%,$2B,$1B
Croatia,Europe,12/1/2003,0.01,,23542,29,,8812,$34B,"$7,690 ",6.40%,$495 ,,0.006,0.23,0.116,75,78,71,58%,1,0.164,0.67,0.166,4.4M,56.00%,$7B,$1B
Cyprus,Europe,12/1/2003,0.01,,7748,,,2332,$13B,"$13,344 ",6.80%,"$1,235 ",,0.005,0.30,0.069,79,81,76,55%,1,0.209,0.686,0.105,1.0M,68.60%,$2B,$1B
Czechia,Europe,12/1/2003,0.01,,122379,40,,44415,$95B,"$9,348 ",7.10%,$666 ,,0.005,0.34,0.059,76,79,72,95%,1,0.154,0.707,0.139,10.2M,73.70%,$4B,$2B
Denmark,Europe,12/1/2003,0.01,,55735,7,,20087,$213B,"$39,513 ",9.50%,"$3,756 ",,0.004,0.76,,78,80,75,89%,1,0.188,0.663,0.149,5.4M,85.40%,$5B,$7B
Estonia,Europe,12/1/2003,0.01,,17052,72,,5188,$10B,"$7,182 ",4.90%,$352 ,,0.007,0.45,0.055,72,77,66,78%,1,0.161,0.676,0.163,1.4M,69.00%,$1B,$0B
Faroe Islands,Europe,12/1/2003,,,777,,,,$1B,"$30,779 ",,,,,0.59,,80,82,77,79%,1,,,,0.0M,38.70%,,
Finland,Europe,12/1/2003,0.01,,68888,31,,36747,$164B,"$31,460 ",8.20%,"$2,572 ",,0.003,0.69,0.041,79,82,75,91%,1,0.177,0.668,0.155,5.2M,82.60%,$3B,$3B
France,Europe,12/1/2003,0.01,,387591,41,,265879,"$1,790B","$28,758 ",10.80%,"$3,137 ",,0.004,0.36,0.066,80,83,76,69%,1,0.186,0.651,0.163,62.2M,76.60%,$46B,$33B
Germany,Europe,12/1/2003,0.01,,833406,45,,338070,"$2,420B","$29,321 ",10.90%,"$3,206 ",,0.004,0.56,,79,81,76,77%,1,0.148,0.673,0.179,82.5M,73.20%,$30B,$73B
Greece,Europe,12/1/2003,0.01,,95738,38,,29141,$193B,"$17,516 ",8.90%,"$1,579 ",,0.006,0.18,0.068,79,81,77,81%,1,0.146,0.674,0.18,11.0M,73.70%,$11B,$2B
Hungary,Europe,12/1/2003,0.01,,59072,52,,26136,$84B,"$8,247 ",8.60%,$706 ,,0.008,0.22,0.096,73,77,68,78%,1,0.16,0.685,0.155,10.1M,65.50%,$4B,$3B
Iceland,Europe,12/1/2003,0.01,,2167,,,3273,$11B,"$37,890 ",10.60%,"$4,020 ",,0.003,0.83,0.12,82,83,80,97%,1,0.225,0.658,0.117,0.3M,92.80%,$0B,$1B
Ireland,Europe,12/1/2003,0.02,,43337,18,,14061,$159B,"$39,785 ",7.30%,"$2,918 ",,0.005,0.34,0.028,79,81,76,87%,1,0.208,0.681,0.111,4.0M,59.90%,$5B,$5B
Isle of Man,Europe,12/1/2003,,,,,,,$2B,"$28,669 ",,,,,,,,,,,1,,,,0.1M,51.90%,,
Italy,Europe,12/1/2003,0.01,,468349,23,,179423,"$1,510B","$26,346 ",8.20%,"$2,157 ",,0.004,0.29,0.058,80,83,77,98%,1,0.142,0.667,0.192,57.3M,67.50%,$33B,$24B
Kosovo,Europe,12/1/2003,0.02,,,,,1994,$3B,"$1,970 ",,,,,,,69,71,66,,1,,,,1.7M,,,
Latvia,Europe,12/1/2003,0.01,,7088,16,,4324,$11B,"$4,889 ",6.20%,$295 ,,0.012,0.27,0.054,72,77,66,53%,1,0.158,0.679,0.163,2.3M,67.80%,$0B,$0B
Liechtenstein,Europe,12/1/2003,0.01,,,,,,$3B,"$89,945 ",,,,,0.59,,80,82,78,73%,1,,,,0.0M,14.90%,,
Lithuania,Europe,12/1/2003,0.01,,12915,26,,9253,$19B,"$5,449 ",6.50%,$351 ,,0.009,0.26,0.058,73,78,67,62%,1,0.18,0.673,0.147,3.4M,66.70%,$1B,$0B
Luxembourg,Europe,12/1/2003,0.01,,9905,,,3843,$29B,"$64,532 ",7.70%,"$4,984 ",,0.003,0.55,,78,81,75,121%,1,0.189,0.668,0.144,0.5M,85.70%,$3B,$2B
North Macedonia,Europe,12/1/2003,0.01,,11309,48,,2776,$5B,"$2,286 ",9.30%,$212 ,,0.013,0.19,0.16,74,76,71,37%,1,0.208,0.684,0.108,2.1M,57.90%,$0B,$0B
Malta,Europe,12/1/2003,0.01,,2582,,,826,$5B,"$12,845 ",8.20%,"$1,074 ",,0.006,0.32,0.059,79,81,76,70%,1,0.185,0.691,0.123,0.4M,93.20%,$1B,$0B
Moldova,Europe,12/1/2003,0.01,,4290,42,,3360,$2B,$548 ,8.30%,$46 ,,0.021,0.07,0.193,68,72,64,12%,1,0.208,0.683,0.108,3.6M,45.50%,$0B,$0B
Monaco,Europe,12/1/2003,,,,,,,$4B,"$108,863 ",3.90%,"$4,216 ",,0.004,0.50,,,,,46%,1,,,,0.0M,100.00%,,
Montenegro,Europe,12/1/2003,0.01,,,,,,$2B,"$2,784 ",9.10%,$254 ,,0.011,,,74,76,71,,1,0.205,0.67,0.125,0.6M,61.60%,,
Netherlands,Europe,12/1/2003,0.01,,175041,9,,78010,$538B,"$33,158 ",9.80%,"$3,249 ",,0.005,0.64,0.03,79,81,76,82%,1,0.186,0.676,0.138,16.2M,80.30%,$15B,$16B
Norway,Europe,12/1/2003,0.01,,42625,18,,27020,$225B,"$49,290 ",10.60%,"$5,220 ",,0.004,0.78,0.047,80,82,77,89%,1,0.199,0.653,0.148,4.6M,77.20%,$3B,$7B
Poland,Europe,12/1/2003,0.01,,304856,31,,91105,$217B,"$5,680 ",6.20%,$354 ,,0.007,0.25,0.073,75,79,71,46%,1,0.174,0.696,0.13,38.2M,61.70%,$5B,$3B
Portugal,Europe,12/1/2003,0.01,,61276,78,,25129,$162B,"$15,489 ",9.70%,"$1,514 ",,0.004,0.30,,78,81,74,96%,1,0.158,0.674,0.168,10.5M,56.30%,$8B,$3B
Romania,Europe,12/1/2003,0.01,,95940,29,,39525,$59B,"$2,756 ",5.30%,$146 ,,0.021,0.09,0.254,72,75,68,32%,1,0.166,0.691,0.143,21.6M,52.90%,$1B,$1B
Russia,Europe,12/1/2003,0.01,,1604973,43,,645323,$430B,"$2,972 ",5.60%,$167 ,,0.017,0.08,0.13,66,72,59,25%,1,0.162,0.705,0.134,144.7M,73.40%,$6B,$13B
San Marino,Europe,12/1/2003,,,,,,,$1B,"$39,128 ",5.10%,"$2,837 ",,0.004,0.50,0.075,82,85,78,59%,1,,,,0.0M,94.00%,,
Serbia,Europe,12/1/2003,0.01,,,56,,16635,$20B,"$2,614 ",8.80%,$171 ,,0.009,,0.155,73,75,70,,1,0.189,0.674,0.137,7.5M,54.00%,$0B,$0B
Slovakia,Europe,12/1/2003,0.01,,39494,103,,18639,$46B,"$8,530 ",5.80%,$360 ,,0.009,0.43,0.085,74,78,70,68%,1,0.179,0.706,0.116,5.4M,55.90%,$1B,$1B
Slovenia,Europe,12/1/2003,0.01,,15500,60,,6912,$29B,"$14,607 ",8.60%,"$1,263 ",,0.004,0.32,0.108,77,81,73,87%,1,0.147,0.703,0.15,2.0M,50.70%,$1B,$1B
Spain,Europe,12/1/2003,0.01,,321097,114,,133196,$884B,"$20,954 ",8.20%,"$1,730 ",,0.005,0.40,,80,83,76,89%,1,0.145,0.687,0.169,42.2M,76.80%,$44B,$11B
Sweden,Europe,12/1/2003,0.01,,54781,16,,50618,$315B,"$35,163 ",9.30%,"$3,277 ",,0.003,0.79,0.048,80,82,78,98%,1,0.179,0.649,0.172,9.0M,84.20%,$7B,$9B
Switzerland,Europe,12/1/2003,0.01,,40205,20,,25996,$335B,"$45,647 ",10.90%,"$5,002 ",,0.004,0.65,0.033,81,83,78,85%,1,0.168,0.676,0.156,7.3M,73.40%,$10B,$9B
Türkiye,Europe,12/1/2003,0.02,,218509,38,,77833,$303B,"$4,595 ",5.30%,$232 ,,0.029,0.12,,72,75,68,42%,1,0.293,0.643,0.064,65.9M,66.60%,$13B,$2B
Ukraine,Europe,12/1/2003,0.01,,352259,40,,144641,$50B,"$1,049 ",6.90%,$73 ,,0.014,0.03,0.179,69,74,63,14%,1,0.156,0.693,0.15,47.8M,67.40%,$1B,$1B
United Kingdom,Europe,12/1/2003,0.01,,540640,13,,222080,"$1,880B","$31,518 ",7.80%,"$2,444 ",,0.005,0.65,0.037,79,81,76,91%,1,0.183,0.658,0.159,59.6M,79.30%,$31B,$59B
Bahrain,Middle East,12/1/2003,0.02,,16468,,,6752,$11B,"$14,345 ",3.70%,$536 ,,0.01,0.22,0.083,75,76,74,57%,1,0.294,0.683,0.023,0.8M,88.40%,$1B,$0B
Iran,Middle East,12/1/2003,0.02,,418859,29,,142649,$135B,"$1,970 ",4.70%,$97 ,,0.024,0.07,,71,72,70,5%,1,0.289,0.664,0.047,68.5M,66.20%,$1B,$4B
Iraq,Middle East,12/1/2003,0.04,,91118,,,27086,,,4.40%,$16 ,,0.034,0.01,,71,73,68,0%,1,0.422,0.543,0.035,26.0M,68.70%,,
Israel,Middle East,12/1/2003,0.02,,65122,20,,19730,$119B,"$17,789 ",7.70%,"$1,364 ",,0.005,0.20,0.106,80,82,78,104%,1,0.28,0.62,0.1,6.7M,91.40%,$2B,$3B
Jordan,Middle East,12/1/2003,0.03,,17470,79,,5176,$10B,"$1,974 ",9.20%,$187 ,,0.022,0.09,0.093,73,74,71,27%,1,0.387,0.582,0.031,5.2M,80.60%,$1B,$1B
Kuwait,Middle East,12/1/2003,0.02,,61657,35,,22001,$48B,"$22,622 ",3.20%,$728 ,,0.01,0.22,0.054,74,75,73,67%,1,0.256,0.71,0.034,2.1M,98.20%,$0B,$4B
Lebanon,Middle East,12/1/2003,0.02,,18221,46,,5220,$20B,"$5,442 ",9.30%,$498 ,,0.014,0.08,0.134,76,78,74,22%,1,0.284,0.643,0.073,3.7M,86.30%,$7B,$3B
Oman,Middle East,12/1/2003,0.02,,32391,35,,9350,$22B,"$9,017 ",3.20%,$294 ,,0.012,0.07,0.082,74,76,72,25%,1,0.364,0.612,0.025,2.4M,71.50%,$1B,$1B
Qatar,Middle East,12/1/2003,0.02,,36157,,,14185,$24B,"$35,644 ",4.10%,"$1,476 ",,0.01,0.19,,77,78,76,57%,1,0.269,0.716,0.015,0.7M,96.90%,$0B,$0B
Saudi Arabia,Middle East,12/1/2003,0.02,,327272,74,,121382,$215B,"$9,408 ",4.00%,$384 ,,0.018,0.08,,74,75,72,32%,1,0.359,0.608,0.033,22.9M,80.50%,$3B,$4B
Syria,Middle East,12/1/2003,0.03,,54286,43,,16543,$22B,"$1,262 ",5.10%,$60 ,,0.018,0.03,0.075,74,76,72,7%,1,0.396,0.57,0.034,17.3M,53.00%,$1B,$1B
United Arab Emirates,Middle East,12/1/2003,0.02,,106842,19,,40190,$124B,"$36,803 ",2.60%,$968 ,,0.009,0.30,,75,76,74,88%,1,0.234,0.756,0.01,3.4M,81.50%,$1B,$4B
Yemen,Middle East,12/1/2003,0.04,,17305,72,,5667,$12B,$617 ,5.00%,$35 ,,0.061,0.01,0.18,62,63,60,4%,1,0.47,0.503,0.027,19.1M,27.80%,$0B,$0B
American Samoa,Oceania,12/1/2003,,,,,,,,,,,,,,,,,,4%,1,,,,0.1M,88.30%,,
Australia,Oceania,12/1/2003,0.01,,346476,3,,110814,$467B,"$23,473 ",8.30%,"$2,323 ",,0.005,,0.084,81,83,78,72%,1,0.202,0.671,0.127,19.9M,87.70%,$17B,$10B
Fiji Islands,Oceania,12/1/2003,0.02,,862,45,,,$2B,"$2,834 ",3.40%,$95 ,,0.02,0.07,0.076,69,71,66,13%,1,0.324,0.638,0.038,0.8M,49.10%,$0B,$0B
French Polynesia,Oceania,12/1/2003,0.02,,799,,,,,,,,,,0.14,,74,76,71,24%,1,0.294,0.659,0.046,0.2M,56.00%,$1B,$0B
Guam,Oceania,12/1/2003,0.02,,,,,,,,,,,,0.34,,77,79,74,51%,1,0.3,0.64,0.06,0.2M,93.40%,,
Kiribati,Oceania,12/1/2003,0.03,,40,21,,,$0B,"$1,032 ",9.60%,$103 ,,0.051,0.03,,66,69,63,1%,1,0.383,0.582,0.035,0.1M,43.50%,,
Marshall Islands,Oceania,12/1/2003,,,84,17,,,$0B,"$2,435 ",17.30%,$411 ,,0.033,0.03,,,,,1%,1,,,,0.1M,69.30%,$0B,$0B
"Micronesia, Fed. Sts.",Oceania,12/1/2003,0.03,,147,16,,,$0B,"$2,294 ",9.50%,$218 ,,0.039,0.09,0.15,68,68,67,6%,1,0.393,0.568,0.039,0.1M,22.30%,$0B,$0B
New Caledonia,Oceania,12/1/2003,0.02,,2750,,,,,,,,,,0.26,,76,79,72,44%,1,0.278,0.659,0.063,0.2M,62.90%,$0B,$0B
New Zealand,Oceania,12/1/2003,0.01,,33938,12,,16847,$87B,"$21,712 ",7.90%,"$1,602 ",,0.006,0.61,0.07,79,81,77,65%,1,0.221,0.661,0.119,4.0M,86.00%,$4B,$2B
Papua New Guinea,Oceania,12/1/2003,0.03,,3968,51,,,$4B,$609 ,4.10%,$25 ,,0.057,0.01,0.134,60,62,58,0%,1,0.401,0.573,0.026,5.8M,13.10%,$0B,$0B
Samoa,Oceania,12/1/2003,0.03,,150,42,,,$0B,"$1,699 ",5.10%,$93 ,,0.017,0.03,0.113,71,74,67,6%,1,0.401,0.552,0.047,0.2M,21.70%,$0B,
Solomon Islands,Oceania,12/1/2003,0.04,,180,56,,,$0B,$745 ,6.00%,$45 ,,0.029,0.01,0.147,65,66,63,0%,1,0.415,0.556,0.029,0.4M,17.00%,$0B,$0B
Tonga,Oceania,12/1/2003,0.03,,176,32,,,$0B,"$2,087 ",5.10%,$106 ,,0.014,0.03,0.113,72,74,69,11%,1,0.382,0.559,0.06,0.1M,23.10%,$0B,$0B
Vanuatu,Oceania,12/1/2003,0.03,,81,39,,,$0B,"$1,581 ",3.70%,$58 ,,0.018,0.04,0.059,69,71,67,4%,1,0.404,0.564,0.032,0.2M,22.50%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2003,0.02,,389,,,,$1B,"$10,497 ",4.40%,$457 ,,0.012,0.17,0.128,75,77,72,57%,1,0.288,0.64,0.071,0.1M,30.50%,$0B,$0B
Argentina,The Americas,12/1/2003,0.02,,133127,66,,59047,$157B,"$4,135 ",8.20%,$280 ,,0.017,0.12,0.191,75,78,71,21%,1,0.27,0.629,0.101,38.0M,89.70%,$2B,$3B
Aruba,The Americas,12/1/2003,0.01,,2255,,,,$2B,"$20,835 ",,,,,0.21,0.115,74,76,72,72%,1,0.221,0.698,0.081,0.1M,45.60%,$1B,$0B
"Bahamas, The",The Americas,12/1/2003,0.02,,1518,,,,$7B,"$22,018 ",5.60%,"$1,237 ",,0.013,0.20,0.06,73,76,70,39%,1,0.271,0.67,0.059,0.3M,82.20%,$2B,$0B
Barbados,The Americas,12/1/2003,0.01,,1269,,,,$3B,"$12,078 ",7.10%,$702 ,,0.015,0.40,0.085,74,76,71,52%,1,0.211,0.677,0.112,0.3M,33.30%,$1B,$0B
Belize,The Americas,12/1/2003,0.03,,374,,,,$1B,"$3,833 ",4.50%,$174 ,,0.019,,0.143,72,75,68,23%,1,0.388,0.57,0.042,0.3M,46.90%,$0B,$0B
Bermuda,The Americas,12/1/2003,0.01,,510,,,,$4B,"$66,112 ",,,,,0.57,,79,81,76,63%,1,,,,0.1M,100.00%,$0B,$0B
Bolivia,The Americas,12/1/2003,0.03,,14129,60,,3688,$8B,$896 ,5.60%,$50 ,,0.049,0.04,0.177,64,66,62,14%,1,0.39,0.567,0.043,9.0M,63.30%,$0B,$0B
Brazil,The Americas,12/1/2003,0.02,,321622,152,,198976,$552B,"$3,037 ",7.00%,$214 ,,0.024,0.13,0.671,71,75,67,26%,1,0.283,0.658,0.059,181.8M,82.20%,$3B,$3B
Canada,The Americas,12/1/2003,0.01,,553185,3,,262038,$888B,"$28,034 ",9.80%,"$2,680 ",,0.005,0.64,0.047,80,82,77,42%,1,0.183,0.689,0.129,31.7M,80.00%,$12B,$16B
Cayman Islands,The Americas,12/1/2003,,,480,,,,,,,,,,,,,,,46%,1,,,,0.0M,100.00%,$1B,
Chile,The Americas,12/1/2003,0.02,,55078,27,,25833,$78B,"$4,866 ",7.10%,$338 ,,0.008,0.26,0.062,78,81,75,45%,1,0.261,0.662,0.077,16.0M,86.90%,$1B,$1B
Colombia,The Americas,12/1/2003,0.02,,57422,60,,25736,$95B,"$2,261 ",5.90%,$134 ,,0.02,0.07,0.152,72,76,68,15%,1,0.316,0.635,0.049,41.9M,73.00%,$1B,$1B
Costa Rica,The Americas,12/1/2003,0.02,,6626,77,,3297,$18B,"$4,200 ",8.10%,$343 ,,0.009,0.20,0.256,79,81,76,19%,1,0.293,0.65,0.057,4.2M,63.10%,$1B,$0B
Cuba,The Americas,12/1/2003,0.01,,25486,,,11662,$36B,"$3,192 ",6.30%,$202 ,,0.006,0.05,,77,79,75,0%,1,0.204,0.691,0.105,11.2M,75.90%,$2B,
Curacao,The Americas,12/1/2003,,,,,,,,,,,,,,,,,,,1,0.225,0.66,0.114,0.1M,90.80%,$0B,$0B
Dominica,The Americas,12/1/2003,,,114,,,,$0B,"$4,865 ",4.90%,$240 ,,0.013,0.24,0.115,,,,34%,1,,,,0.1M,66.00%,$0B,$0B
Dominican Republic,The Americas,12/1/2003,0.02,,21888,77,,7479,$21B,"$2,345 ",6.50%,$143 ,,0.031,0.08,0.314,71,74,68,23%,1,0.338,0.607,0.055,9.1M,64.60%,$3B,$0B
Ecuador,The Americas,12/1/2003,0.02,,26523,92,,9712,$32B,"$2,442 ",6.70%,$164 ,,0.026,0.05,0.136,74,77,71,18%,1,0.334,0.612,0.054,13.3M,61.30%,$0B,$1B
El Salvador,The Americas,12/1/2003,0.02,,6553,115,,4418,$15B,"$2,496 ",7.30%,$182 ,,0.023,0.03,,71,75,66,19%,1,0.369,0.572,0.059,6.0M,60.60%,$1B,$0B
Greenland,The Americas,12/1/2003,0.02,,532,,,,$1B,"$25,129 ",,,,,0.55,,69,71,66,52%,1,,,,0.1M,82.30%,,
Grenada,The Americas,12/1/2003,0.02,,216,,,,$1B,"$5,825 ",6.20%,$359 ,,0.013,0.19,0.12,71,73,69,41%,1,0.319,0.603,0.077,0.1M,36.00%,$0B,$0B
Guatemala,The Americas,12/1/2003,0.04,,10502,39,,7436,$22B,"$1,817 ",6.40%,$116 ,,0.036,0.05,0.15,70,73,66,17%,1,0.436,0.522,0.042,12.1M,46.30%,$1B,$0B
Guyana,The Americas,12/1/2003,0.02,,1566,,,,$1B,$984 ,5.60%,$55 ,,0.037,,0.15,65,68,61,18%,1,0.36,0.599,0.041,0.8M,28.40%,$0B,$0B
Haiti,The Americas,12/1/2003,0.03,,1734,202,,2218,$3B,$314 ,5.30%,$17 ,,0.069,0.02,0.442,59,60,57,4%,1,0.389,0.57,0.041,9.0M,40.60%,$0B,$0B
Honduras,The Americas,12/1/2003,0.03,,6769,62,,3647,$8B,"$1,228 ",8.30%,$103 ,,0.028,0.05,0.208,72,74,69,6%,1,0.409,0.55,0.041,6.6M,47.20%,$0B,$0B
Jamaica,The Americas,12/1/2003,0.02,,10722,31,,3728,$9B,"$3,593 ",4.60%,$162 ,,0.019,0.08,0.189,71,74,68,60%,1,0.318,0.606,0.076,2.6M,52.40%,$2B,$0B
Mexico,The Americas,12/1/2003,0.02,,405633,58,,153665,$713B,"$6,598 ",5.80%,$397 ,,0.018,0.13,0.07,76,78,73,28%,1,0.33,0.618,0.051,108.1M,75.70%,$10B,$7B
Nicaragua,The Americas,12/1/2003,0.03,,4411,46,,2758,$5B,"$1,001 ",6.10%,$61 ,,0.029,0.02,0.155,71,74,68,9%,1,0.391,0.57,0.039,5.3M,55.50%,$0B,$0B
Panama,The Americas,12/1/2003,0.02,,6153,18,,2649,$13B,"$3,991 ",7.60%,$303 ,,0.02,0.10,0.099,76,78,73,21%,1,0.313,0.629,0.058,3.2M,63.10%,$1B,$0B
Paraguay,The Americas,12/1/2003,0.03,,4070,74,,3965,$7B,"$1,159 ",6.10%,$71 ,,0.025,0.02,0.5,71,73,69,31%,1,0.368,0.586,0.046,5.7M,56.90%,$0B,$0B
Peru,The Americas,12/1/2003,0.02,,26380,98,,11638,$58B,"$2,136 ",4.50%,$102 ,,0.025,0.12,0.21,72,74,69,11%,1,0.328,0.62,0.052,27.1M,74.20%,$1B,$1B
Puerto Rico,The Americas,12/1/2003,0.01,,,7,,,$76B,"$19,820 ",,,,,0.20,,78,82,74,45%,1,0.227,0.654,0.118,3.8M,94.20%,$3B,$1B
Sint Maarten (Dutch part),The Americas,12/1/2003,,,,,,,,,,,,,,,,,,,1,,,,0.0M,100.00%,$1B,$0B
St. Kitts and Nevis,The Americas,12/1/2003,,,220,,,,$0B,"$9,681 ",3.70%,$359 ,,0.012,0.23,0.122,,,,46%,1,,,,0.0M,32.30%,$0B,$0B
